,base_estimator,density,learning_rate,n_estimators,cv_score_avg,cv_score_std,privacy,epsilon,delta
123,"DPOneRule(epsilon = 0.04000000, zeta = 0.00008398)",0.2,0.1,50,0.7498950197362897,0.05248396369234448,"(2, 0)-DP",2.0,0
124,"DPOneRule(epsilon = 0.02000000, zeta = 0.00008398)",0.2,0.1,100,0.7777105904090031,0.04155901293979805,"(2, 0)-DP",2.0,0
125,"DPOneRule(epsilon = 0.40000000, zeta = 0.00008398)",0.2,0.25,5,0.7366927017720668,0.05779716028387459,"(2, 0)-DP",2.0,0
126,"DPOneRule(epsilon = 0.20000000, zeta = 0.00008398)",0.2,0.25,10,0.7366255144032923,0.040158365807481035,"(2, 0)-DP",2.0,0
127,"DPOneRule(epsilon = 0.10000000, zeta = 0.00008398)",0.2,0.25,20,0.745930964978584,0.04721757557488462,"(2, 0)-DP",2.0,0
128,"DPOneRule(epsilon = 0.04000000, zeta = 0.00008398)",0.2,0.25,50,0.8083816242546401,0.02504935777261676,"(2, 0)-DP",2.0,0
129,"DPOneRule(epsilon = 0.02000000, zeta = 0.00008398)",0.2,0.25,100,0.8312085327958343,0.012228908630816972,"(2, 0)-DP",2.0,0
130,"DPOneRule(epsilon = 0.40000000, zeta = 0.00008398)",0.2,0.5,5,0.7497942386831276,0.052152163662843296,"(2, 0)-DP",2.0,0
131,"DPOneRule(epsilon = 0.20000000, zeta = 0.00008398)",0.2,0.5,10,0.744419249181154,0.046895971229457864,"(2, 0)-DP",2.0,0
132,"DPOneRule(epsilon = 0.10000000, zeta = 0.00008398)",0.2,0.5,20,0.8006382800033593,0.028870219649633436,"(2, 0)-DP",2.0,0
133,"DPOneRule(epsilon = 0.04000000, zeta = 0.00008398)",0.2,0.5,50,0.8266901822457378,0.009088411061100926,"(2, 0)-DP",2.0,0
134,"DPOneRule(epsilon = 0.02000000, zeta = 0.00008398)",0.2,0.5,100,0.8351725875535401,0.013556373270469428,"(2, 0)-DP",2.0,0
135,"DPOneRule(epsilon = 0.40000000, zeta = 0.00008398)",0.2,0.75,5,0.7449735449735451,0.04962722465034955,"(2, 0)-DP",2.0,0
136,"DPOneRule(epsilon = 0.20000000, zeta = 0.00008398)",0.2,0.75,10,0.8168808264046359,0.020242501664097776,"(2, 0)-DP",2.0,0
137,"DPOneRule(epsilon = 0.10000000, zeta = 0.00008398)",0.2,0.75,20,0.8206097253716302,0.020131139750849403,"(2, 0)-DP",2.0,0
138,"DPOneRule(epsilon = 0.04000000, zeta = 0.00008398)",0.2,0.75,50,0.8175191064079954,0.022102078702836682,"(2, 0)-DP",2.0,0
139,"DPOneRule(epsilon = 0.02000000, zeta = 0.00008398)",0.2,0.75,100,0.8231796422272613,0.014967164577853413,"(2, 0)-DP",2.0,0
140,"DPOneRule(epsilon = 0.20000000, zeta = 0.00008398)",0.2,0.1,5,0.7366927017720668,0.05779716028387459,"(1, 0)-DP",1.0,0
141,"DPOneRule(epsilon = 0.10000000, zeta = 0.00008398)",0.2,0.1,10,0.7366927017720668,0.05779716028387459,"(1, 0)-DP",1.0,0
142,"DPOneRule(epsilon = 0.05000000, zeta = 0.00008398)",0.2,0.1,20,0.7497102544721593,0.0521146601135953,"(1, 0)-DP",1.0,0
143,"DPOneRule(epsilon = 0.02000000, zeta = 0.00008398)",0.2,0.1,50,0.7500797850004199,0.05079747770777721,"(1, 0)-DP",1.0,0
144,"DPOneRule(epsilon = 0.01000000, zeta = 0.00008398)",0.2,0.1,100,0.746888384983623,0.06685954287862804,"(1, 0)-DP",1.0,0
145,"DPOneRule(epsilon = 0.20000000, zeta = 0.00008398)",0.2,0.25,5,0.7366927017720668,0.05779716028387459,"(1, 0)-DP",1.0,0
146,"DPOneRule(epsilon = 0.10000000, zeta = 0.00008398)",0.2,0.25,10,0.7365919207189049,0.04019774568599574,"(1, 0)-DP",1.0,0
147,"DPOneRule(epsilon = 0.05000000, zeta = 0.00008398)",0.2,0.25,20,0.7798101956832115,0.05014726422437904,"(1, 0)-DP",1.0,0
148,"DPOneRule(epsilon = 0.02000000, zeta = 0.00008398)",0.2,0.25,50,0.7983035189384396,0.029162268956995977,"(1, 0)-DP",1.0,0
149,"DPOneRule(epsilon = 0.01000000, zeta = 0.00008398)",0.2,0.25,100,0.7855211220290584,0.03856751754916722,"(1, 0)-DP",1.0,0
150,"DPOneRule(epsilon = 0.20000000, zeta = 0.00008398)",0.2,0.5,5,0.7497942386831276,0.052152163662843296,"(1, 0)-DP",1.0,0
151,"DPOneRule(epsilon = 0.10000000, zeta = 0.00008398)",0.2,0.5,10,0.7516922818510119,0.03676516056136069,"(1, 0)-DP",1.0,0
152,"DPOneRule(epsilon = 0.05000000, zeta = 0.00008398)",0.2,0.5,20,0.818342151675485,0.03365292500648816,"(1, 0)-DP",1.0,0
153,"DPOneRule(epsilon = 0.02000000, zeta = 0.00008398)",0.2,0.5,50,0.8159234063995969,0.023128550296852568,"(1, 0)-DP",1.0,0
154,"DPOneRule(epsilon = 0.01000000, zeta = 0.00008398)",0.2,0.5,100,0.7965062568237171,0.015900143143788764,"(1, 0)-DP",1.0,0
155,"DPOneRule(epsilon = 0.20000000, zeta = 0.00008398)",0.2,0.75,5,0.7449735449735451,0.04962722465034955,"(1, 0)-DP",1.0,0
156,"DPOneRule(epsilon = 0.10000000, zeta = 0.00008398)",0.2,0.75,10,0.8182245737801294,0.021261617743253518,"(1, 0)-DP",1.0,0
157,"DPOneRule(epsilon = 0.05000000, zeta = 0.00008398)",0.2,0.75,20,0.7994792978919962,0.03358606615558539,"(1, 0)-DP",1.0,0
158,"DPOneRule(epsilon = 0.02000000, zeta = 0.00008398)",0.2,0.75,50,0.8092046695221299,0.028872906959073314,"(1, 0)-DP",1.0,0
159,"DPOneRule(epsilon = 0.01000000, zeta = 0.00008398)",0.2,0.75,100,0.7954144620811288,0.0330635503051184,"(1, 0)-DP",1.0,0
160,"DPOneRule(epsilon = 0.15000000, zeta = 0.00008398)",0.2,0.1,5,0.7366927017720668,0.05779716028387459,"(0.75, 0)-DP",0.75,0
161,"DPOneRule(epsilon = 0.07500000, zeta = 0.00008398)",0.2,0.1,10,0.7316368522717729,0.05375634042147898,"(0.75, 0)-DP",0.75,0
162,"DPOneRule(epsilon = 0.03750000, zeta = 0.00008398)",0.2,0.1,20,0.7366255144032923,0.040158365807481035,"(0.75, 0)-DP",0.75,0
163,"DPOneRule(epsilon = 0.01500000, zeta = 0.00008398)",0.2,0.1,50,0.7534391534391535,0.05442411192020791,"(0.75, 0)-DP",0.75,0
164,"DPOneRule(epsilon = 0.00750000, zeta = 0.00008398)",0.2,0.1,100,0.7420844881162341,0.04228389426704773,"(0.75, 0)-DP",0.75,0
165,"DPOneRule(epsilon = 0.15000000, zeta = 0.00008398)",0.2,0.25,5,0.7366927017720668,0.05779716028387459,"(0.75, 0)-DP",0.75,0
166,"DPOneRule(epsilon = 0.07500000, zeta = 0.00008398)",0.2,0.25,10,0.7366255144032923,0.040158365807481035,"(0.75, 0)-DP",0.75,0
167,"DPOneRule(epsilon = 0.03750000, zeta = 0.00008398)",0.2,0.25,20,0.7580918787267994,0.04630455895782523,"(0.75, 0)-DP",0.75,0
168,"DPOneRule(epsilon = 0.01500000, zeta = 0.00008398)",0.2,0.25,50,0.7931636852271773,0.026548598017583497,"(0.75, 0)-DP",0.75,0
169,"DPOneRule(epsilon = 0.00750000, zeta = 0.00008398)",0.2,0.25,100,0.7754598135550517,0.05733735863039751,"(0.75, 0)-DP",0.75,0
170,"DPOneRule(epsilon = 0.15000000, zeta = 0.00008398)",0.2,0.5,5,0.7497942386831276,0.052152163662843296,"(0.75, 0)-DP",0.75,0
171,"DPOneRule(epsilon = 0.07500000, zeta = 0.00008398)",0.2,0.5,10,0.7496430671033846,0.03600935063281717,"(0.75, 0)-DP",0.75,0
172,"DPOneRule(epsilon = 0.03750000, zeta = 0.00008398)",0.2,0.5,20,0.8126480221718317,0.03143072040113741,"(0.75, 0)-DP",0.75,0
